GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US01152,1152,"ZIP 01152 (Springfield, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01199,1199,"ZIP 01199 (Springfield, MA)",0,Total for all sectors,2013,3,i,D,D
8610000US01201,1201,"ZIP 01201 (Pittsfield, MA)",0,Total for all sectors,2013,1284,22465,260248,1052122
8610000US01202,1202,"ZIP 01202 (Pittsfield, MA)",0,Total for all sectors,2013,26,474,S,25517
8610000US01203,1203,"ZIP 01203 (Pittsfield, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01220,1220,"ZIP 01220 (Adams, MA)",0,Total for all sectors,2013,154,1588,13443,55890
8610000US01222,1222,"ZIP 01222 (Ashley Falls, MA)",0,Total for all sectors,2013,13,36,253,1459
8610000US01223,1223,"ZIP 01223 (Becket, MA)",0,Total for all sectors,2013,43,280,2085,12565
8610000US01224,1224,"ZIP 01224 (Berkshire, MA)",0,Total for all sectors,2013,4,24,180,789
8610000US01225,1225,"ZIP 01225 (Cheshire, MA)",0,Total for all sectors,2013,51,352,3031,14363
8610000US01226,1226,"ZIP 01226 (Dalton, MA)",0,Total for all sectors,2013,121,1440,20212,71553
8610000US01227,1227,"ZIP 01227 (Dalton, MA)",0,Total for all sectors,2013,5,41,301,1924
8610000US01229,1229,"ZIP 01229 (Glendale, MA)",0,Total for all sectors,2013,3,a,S,713
8610000US01230,1230,"ZIP 01230 (Great Barrington, MA)",0,Total for all sectors,2013,419,4997,38980,170289
8610000US01235,1235,"ZIP 01235 (Hinsdale, MA)",0,Total for all sectors,2013,47,c,1365,7142
8610000US01236,1236,"ZIP 01236 (Housatonic, MA)",0,Total for all sectors,2013,38,e,3230,13799
8610000US01237,1237,"ZIP 01237 (Lanesboro, MA)",0,Total for all sectors,2013,148,1940,9293,36625
8610000US01238,1238,"ZIP 01238 (Lee, MA)",0,Total for all sectors,2013,282,3202,22712,95856
8610000US01240,1240,"ZIP 01240 (Lenox, MA)",0,Total for all sectors,2013,248,3421,23518,104860
8610000US01242,1242,"ZIP 01242 (Lenox Dale, MA)",0,Total for all sectors,2013,18,c,757,3547
8610000US01243,1243,"ZIP 01243 (Middlefield, MA)",0,Total for all sectors,2013,5,29,153,633
8610000US01244,1244,"ZIP 01244 (Mill River, MA)",0,Total for all sectors,2013,4,3,S,231
8610000US01245,1245,"ZIP 01245 (Monterey, MA)",0,Total for all sectors,2013,23,c,D,D
8610000US01247,1247,"ZIP 01247 (North Adams, MA)",0,Total for all sectors,2013,345,4420,37203,151196
8610000US01252,1252,"ZIP 01252 (North Egremont, MA)",0,Total for all sectors,2013,4,3,32,240
8610000US01253,1253,"ZIP 01253 (Otis, MA)",0,Total for all sectors,2013,33,c,721,3014
8610000US01254,1254,"ZIP 01254 (Richmond, MA)",0,Total for all sectors,2013,34,b,422,2182
8610000US01255,1255,"ZIP 01255 (Sandisfield, MA)",0,Total for all sectors,2013,18,c,863,3993
8610000US01256,1256,"ZIP 01256 (Savoy, MA)",0,Total for all sectors,2013,5,16,124,571
8610000US01257,1257,"ZIP 01257 (Sheffield, MA)",0,Total for all sectors,2013,112,983,10115,44023
8610000US01258,1258,"ZIP 01258 (South Egremont, MA)",0,Total for all sectors,2013,35,409,1782,6363
8610000US01259,1259,"ZIP 01259 (Southfield, MA)",0,Total for all sectors,2013,25,b,S,2784
8610000US01260,1260,"ZIP 01260 (South Lee, MA)",0,Total for all sectors,2013,14,482,5548,22009
8610000US01262,1262,"ZIP 01262 (Stockbridge, MA)",0,Total for all sectors,2013,83,1409,12316,50048
8610000US01264,1264,"ZIP 01264 (Tyringham, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01266,1266,"ZIP 01266 (West Stockbridge, MA)",0,Total for all sectors,2013,46,129,909,5148
8610000US01267,1267,"ZIP 01267 (Williamstown, MA)",0,Total for all sectors,2013,218,3371,39581,161280
8610000US01270,1270,"ZIP 01270 (Windsor, MA)",0,Total for all sectors,2013,7,16,164,874
8610000US01301,1301,"ZIP 01301 (Greenfield, MA)",0,Total for all sectors,2013,563,7854,64009,271182
8610000US01302,1302,"ZIP 01302 (Greenfield, MA)",0,Total for all sectors,2013,21,423,5353,21368
8610000US01330,1330,"ZIP 01330 (Ashfield, MA)",0,Total for all sectors,2013,32,141,1038,4381
8610000US01331,1331,"ZIP 01331 (Athol, MA)",0,Total for all sectors,2013,201,3110,26219,107798
8610000US01337,1337,"ZIP 01337 (Bernardston, MA)",0,Total for all sectors,2013,45,399,2621,12788
8610000US01338,1338,"ZIP 01338 (Buckland, MA)",0,Total for all sectors,2013,15,130,544,2179
8610000US01339,1339,"ZIP 01339 (Charlemont, MA)",0,Total for all sectors,2013,26,259,1201,4681
8610000US01340,1340,"ZIP 01340 (Colrain, MA)",0,Total for all sectors,2013,16,99,838,3616
8610000US01341,1341,"ZIP 01341 (Conway, MA)",0,Total for all sectors,2013,24,112,806,3682
8610000US01342,1342,"ZIP 01342 (Deerfield, MA)",0,Total for all sectors,2013,27,837,7693,32477
8610000US01343,1343,"ZIP 01343 (Drury, MA)",0,Total for all sectors,2013,1,a,D,D
